diameter	thickness		
6,5E-7	3E-8	31888,7620674752	3,17450130163307E-16
6,5E-7	2E-8	40195,0321700424	2,66758932552245E-16
6,5E-7	1E-8	25130,8415641894	8,33918535186444E-17
5E-7	3E-8	49274,4294009889	2,90250347654954E-16
5E-7	2E-8	48861,5915218533	1,918790212097E-16
5E-7	1E-8	33112,5964805071	6,50164311527777E-17
4E-7	3E-8	56255,6001028882	2,12078616007823E-16
4E-7	2E-8	56980,5484744018	1,43207737987758E-16
4E-7	1E-8	38460,6413943778	4,83310673827716E-17
3E-7	3E-8	69889,6435678373	1,48206233786441E-16
3E-7	2E-8	64795,0685975794	9,16018701727509E-17
3E-7	1E-8	6387,36009231602	4,51495879691685E-18
2E-7	3E-8	98130,6007477949	9,24859123204877E-17
2E-7	2E-8	83428,5140106098	5,2419681343129E-17
2E-7	1E-8	0	0
